t, ur1, ur2, ur3
9.620030, -7.235829, -7.542913, 9.496804
9.640031, -6.736961, -7.555031, 12.551015
9.660031, -8.274070, -7.040050, 14.596070
9.680032, -8.265215, -7.536456, 10.008945
9.700032, -7.240690, -7.537987, 10.525535
9.720033, -7.252053, -7.554343, 10.007746
9.740033, -7.775600, -7.055474, 9.488903
9.760034, -7.768299, -9.090021, 11.025957
9.780034, -7.241400, -9.070136, 10.523272
9.800035, -7.243020, -9.579391, 12.051414
9.820035, -10.322177, -10.104603, 12.551060
9.840035, -7.260841, -11.642578, 13.056120
9.860036, -8.785245, -12.149836, 12.545755
9.880036, -10.827481, -10.101519, 11.526512
9.900037, -10.324507, -11.131569, 12.544003
9.920037, -10.330654, -10.121315, 13.048775
9.940038, -10.836336, -11.140114, 13.565309
9.960038, -9.804244, -13.682229, 12.553657
9.980039, -9.805930, -14.190973, 13.066063
10.000039, -9.824373, -10.113436, 12.033749
10.020040, -10.855512, -13.186922, 11.007648
10.040040, -9.311434, -12.673073, 7.437057
10.060040, -9.815495, -13.179776, 13.055876
10.080041, -10.329433, -13.177579, 12.029088
10.100041, -10.323463, -16.745949, 8.453171
10.120042, -9.820999, -12.661310, 11.507715
10.140042, -9.831985, -12.669367, 12.516394
10.160043, -9.825793, -13.178977, 12.521698
10.180043, -10.325461, -14.704357, 10.490536
10.200044, -10.329789, -13.688420, 10.493776
10.220044, -10.346900, -13.194312, 9.977141
10.240045, -7.796884, -13.711169, 11.000213
10.260045, -7.787363, -13.698674, 7.439676
10.280046, -7.779151, -8.576893, 7.453236
10.300046, -6.766811, -9.611394, 7.967396
10.320046, -7.282214, -10.136406, 3.884643
10.340047, -7.277287, -10.134941, 3.381025
10.360047, -7.273447, -7.062421, 3.893854
10.380048, -8.290915, -7.566616, 0.318736
10.400048, -7.781105, -8.591829, 4.399913
10.420049, -7.274202, -7.067792, 3.874190
10.440049, -5.218072, -8.078490, 5.409812
10.460050, -6.734608, -8.060336, 3.886508
10.480050, -6.735540, -7.545111, 3.886397
10.500051, -5.736582, -8.587146, 4.380183
10.520051, -5.235450, -7.576004, 4.882070
10.540051, -5.729636, -7.560535, 7.449907
10.560052, -4.683672, -4.474732, 3.888683
10.580052, -4.681320, -4.988426, 5.427589
10.600053, -4.704800, -6.035299, 1.333618
10.620053, -5.229236, -5.020917, 1.844537
10.640054, -4.720735, -3.483109, 1.331376
10.660054, -2.143510, -1.928311, 1.854547
10.680055, -1.622093, -2.946511, 0.836713
10.700055, -1.630016, -2.451771, 2.874544
10.720056, -2.147971, -2.461092, 1.851195
10.740056, -2.144864, -3.473521, 2.368906
10.760056, -2.139893, -1.927668, 2.880203
10.780057, -3.156938, -2.942139, -0.185948
10.800057, -2.647994, -1.925537, -1.210828
10.820058, -2.148748, -3.983864, -1.223322
10.840058, -2.663951, 0.615401, -0.206432
10.860059, -2.647306, 0.634355, 2.356700
10.880059, -2.628708, 0.645873, 3.387972
10.900060, -2.115901, 0.129150, 2.364579
10.920060, -3.153276, 0.113992, 1.332508
10.940061, -2.647062, 0.627053, 1.334461
10.960061, -2.132125, 0.127152, 1.851484
10.980062, -2.642401, 0.128950, 1.342895
11.000062, -2.142600, 0.114413, 0.822265
11.020062, -1.124733, -0.406494, 1.326760
11.040063, -2.133900, 0.627541, 1.331265
11.060063, -2.120340, 0.135919, 3.385553
11.080064, -2.632791, 0.139270, 1.854058
11.100064, -2.134455, -0.897240, 1.844715
11.120065, -2.658447, 0.619618, 2.342474
11.140065, -2.141246, -1.418723, 4.899714
11.160066, -2.633723, 0.133033, 3.378961
11.180066, -1.612417, 1.154706, 4.911188
11.200067, -5.207375, -0.400168, 4.897850
