t, phi2, phi3
12.480096, 0.001059, -0.008257
12.500096, 0.001277, -0.008872
12.520097, 0.001100, -0.008647
12.540097, 0.000941, -0.008532
12.560098, 0.000784, -0.008242
12.580098, 0.000928, -0.008392
12.600099, 0.001082, -0.008303
12.620099, 0.001034, -0.007773
12.640100, 0.001082, -0.007286
12.660100, 0.001189, -0.007015
12.680100, 0.001324, -0.006658
12.700101, 0.001279, -0.006043
12.720101, 0.001197, -0.005382
12.740102, 0.001127, -0.005095
12.760102, 0.001088, -0.004853
12.780103, 0.000953, -0.004407
12.800103, 0.000714, -0.004340
12.820104, 0.000584, -0.004543
12.840104, 0.000412, -0.004541
12.860105, 0.000253, -0.004771
12.880105, 0.000167, -0.005096
12.900105, 0.000208, -0.005534
12.920106, 0.000061, -0.005510
12.940106, 0.000096, -0.005811
12.960107, 0.000040, -0.005808
12.980107, 0.000027, -0.005683
13.000108, -0.000376, -0.004736
13.020108, -0.000418, -0.004241
13.040109, -0.000285, -0.003853
13.060109, -0.000123, -0.003636
13.080110, -0.000140, -0.003255
13.100110, -0.000473, -0.002294
13.120111, -0.000600, -0.001965
13.140111, -0.000563, -0.002278
13.160111, -0.000596, -0.002491
13.180112, -0.000467, -0.003308
13.200112, -0.000553, -0.003158
13.220113, -0.000884, -0.003181
13.240113, -0.001044, -0.003357
13.260114, -0.001118, -0.004299
13.280114, -0.001375, -0.004440
13.300115, -0.001566, -0.004308
13.320115, -0.001531, -0.004190
13.340116, -0.001115, -0.004607
13.360116, -0.000541, -0.004926
13.380116, -0.000276, -0.004901
13.400117, -0.000404, -0.004464
13.420117, -0.000430, -0.004531
13.440118, -0.000522, -0.004573
13.460118, -0.000476, -0.004495
13.480119, -0.000344, -0.004559
13.500119, -0.000063, -0.004550
13.520120, -0.000068, -0.004020
13.540120, -0.000181, -0.003607
13.560121, 0.000059, -0.003888
13.580121, 0.000253, -0.004276
13.600121, 0.000467, -0.004799
13.620122, 0.000777, -0.005856
13.640122, 0.000261, -0.005477
13.660123, -0.000183, -0.005122
13.680123, -0.000378, -0.005154
13.700124, -0.000294, -0.005873
13.720124, 0.000138, -0.007053
13.740125, 0.000104, -0.006827
13.760125, 0.000022, -0.006509
13.780126, 0.000248, -0.007092
13.800126, 0.000564, -0.007680
13.820127, 0.000697, -0.007610
13.840127, 0.000823, -0.007424
13.860127, 0.000869, -0.006688
13.880128, 0.000911, -0.006510
13.900128, 0.001234, -0.006674
13.920129, 0.001615, -0.007307
13.940129, 0.001790, -0.007476
13.960130, 0.001442, -0.006681
13.980130, 0.001318, -0.006025
14.000131, 0.001641, -0.006518
14.020131, 0.001987, -0.007057
14.040132, 0.002149, -0.006688
14.060132, 0.002227, -0.006148
14.080132, 0.001958, -0.005318
14.100133, 0.001577, -0.004951
14.120133, 0.001285, -0.005228
14.140134, 0.001013, -0.005411
14.160134, 0.000950, -0.005686
14.180135, 0.001092, -0.006060
14.200135, 0.001296, -0.006563
14.220136, 0.001250, -0.006782
14.240136, 0.001151, -0.006605
14.260137, 0.000880, -0.006202
14.280137, 0.000824, -0.006166
14.300138, 0.000739, -0.006103
14.320138, 0.000803, -0.005952
14.340138, 0.000791, -0.005534
14.360139, 0.000770, -0.004899
14.380139, 0.000884, -0.004577
14.400140, 0.000733, -0.003928
14.420140, 0.000655, -0.003471
14.440141, 0.000562, -0.003407
14.460141, 0.000287, -0.002755
14.480142, 0.000163, -0.002891
14.500142, 0.000304, -0.003483
14.520143, 0.000445, -0.004434
14.540143, 0.000497, -0.005373
14.560143, 0.000592, -0.006323
14.580144, 0.000439, -0.006475
14.600144, -0.000121, -0.005609
14.620145, -0.000268, -0.005356
14.640145, -0.000292, -0.005033
14.660146, -0.000013, -0.005368
14.680146, 0.000417, -0.005824
14.700147, 0.000491, -0.005337
14.720147, 0.000481, -0.004766
14.740148, 0.000811, -0.005374
14.760148, 0.001373, -0.007164
14.780149, 0.001295, -0.007357
14.800149, 0.000935, -0.006549
14.820149, 0.000620, -0.005735
14.840150, 0.000472, -0.005202
14.860150, 0.000773, -0.005640
14.880151, 0.001175, -0.006259
14.900151, 0.001416, -0.006317
14.920152, 0.001093, -0.005394
14.940152, 0.000930, -0.005106
14.960153, 0.001046, -0.005601
14.980153, 0.001218, -0.006073
15.000154, 0.001234, -0.006663
15.020154, 0.001195, -0.006939
15.040154, 0.001103, -0.006808
15.060155, 0.001399, -0.007446
15.080155, 0.001394, -0.007237
15.100156, 0.001373, -0.007074
15.120156, 0.001366, -0.006960
15.140157, 0.001264, -0.006692
15.160157, 0.001564, -0.007229
15.180158, 0.001774, -0.007585
15.200158, 0.001886, -0.007994
15.220159, 0.001941, -0.008058
15.240159, 0.001847, -0.007468
15.260159, 0.001630, -0.006849
15.280160, 0.001420, -0.006303
15.300160, 0.001547, -0.006637
15.320161, 0.001562, -0.006462
15.340161, 0.001070, -0.005137
15.360162, 0.001203, -0.005340
15.380162, 0.001661, -0.006118
15.400163, 0.001888, -0.006793
15.420163, 0.001871, -0.007191
15.440164, 0.001527, -0.006968
15.460164, 0.001376, -0.006742
15.480165, 0.001188, -0.006261
15.500165, 0.001327, -0.006432
15.520165, 0.001497, -0.006612
15.540166, 0.001721, -0.006606
15.560166, 0.001962, -0.006747
15.580167, 0.001735, -0.006627
15.600167, 0.001545, -0.007265
15.620168, 0.001148, -0.007307
15.640168, 0.000997, -0.007068
15.660169, 0.000776, -0.006355
